id	stk_code	stk_name	stk_shares_idx	stk_float_idx	stk_capp_idx	stk_price	stk_curr	stk_mult	curr_conv	stk_curr_conv	stk_mcap_idx	specs_id	dates	times	stk_dcap_idx	stk_dcurr_conv	stk_dprice	idx_curr	idx_code	new_shares	stk_wgt	nxt_shares_idx	nxt_float_idx	nxt_capp_idx	nxt_price	nxt_adjust	to_adjust	nxt_date	nstk_curr_conv	nstk_mcap_idx	nxt_free_float	nxt_capping
99	PFL	Petro Dong Do Joint Stock Company	59841300	100	100	2700	VND	1	1	2700	161571510000	0	2012-09-13	12:23:11				VND	PVNFIPRVND	0	1.512307801124062						0	0000-00-00	0	0	0	0
100	PVT	PVN Transportation	232600000	100	100	4300	VND	1	1	4300	1000180000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	7.965985796955042						0	0000-00-00	0	0	0	0
101	PXI	Petroleum Industrial and Civil Construction	30000000	100	100	4000	VND	1	1	4000	120000000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.9557462613075697						0	0000-00-00	0	0	0	0
102	PXM	Mientrung Petroleum Construction	15000000	100	100	3200	VND	1	1	3200	48000000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.3822985045230279						0	0000-00-00	0	0	0	0
103	PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400	VND	1	1	9400	352669209400	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	2.80885231968622						0	0000-00-00	0	0	0	0
104	PXT	Petroleum Pipeline and Tank Construction	20000000	100	100	4200	VND	1	1	4200	84000000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.6690223829152988						0	0000-00-00	0	0	0	0
105	PCT	Cuu Long Petro Gas Service Transportation	23000000	100	100	2900	VND	1	1	2900	66700000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.5312356302434575						0	0000-00-00	0	0	0	0
106	PPS	Petro Vietnam Power Services Joint Stock Company	15000000	100	100	7200	VND	1	1	7200	108000000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.8601716351768127						0	0000-00-00	0	0	0	0
107	PVE	PVN Investment Consultancy and Engineering	18000000	100	100	9600	VND	1	1	9600	172800000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	1.3762746162829005						0	0000-00-00	0	0	0	0
108	PVX	PVN Construction	250000000	100	100	5200	VND	1	1	5200	1300000000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	10.353917830832007						0	0000-00-00	0	0	0	0
109	PSP	Dinh Vu Petroleum Service Port	22500000	100	100	5300	VND	1	1	5300	119250000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.9497728471743974						0	0000-00-00	0	0	0	0
110	PTT	Indochina Petroleum Transportation	10000000	100	100	1800	VND	1	1	1800	18000000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.14336193919613546						0	0000-00-00	0	0	0	0
111	PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800	VND	1	1	38800	1664520000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	13.257156390597299						0	0000-00-00	0	0	0	0
112	PVD	PVN Drilling & Well Services	209740215	100	100	35000	VND	1	1	35000	7340907525000	0	2012-09-13	12:23:11	461428473000	2200	2200	VND	PVNINPRVND	0	58.467041013527954						0	0000-00-00	0	0	0	0
113	PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100	VND	1	1	6100	115107000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.9167757075027536						0	0000-00-00	0	0	0	0
114	PSG	Saigon Petroleum Constrution And Investment JSC	35000000	100	100	1300	VND	1	1	1300	45500000000	0	2012-09-13	12:23:11				VND	PVNINPRVND	0	0.3623871240791202						0	0000-00-00	0	0	0	0
115	PVD	PVN Drilling & Well Services	297802094	100	100	35000	VND	1	1	35000	10423073290000	0	2012-09-13	12:23:11	655164606800	2200	2200	VND	PVNOGPRVND	0	74.67606984737209						0	0000-00-00	0	0	0	0
116	PVS	PVN Technical Services	10000000	100	100	15200	VND	1	1	15200	152000000000	0	2012-09-13	12:23:11				VND	PVNOGPRVND	0	1.089003435070402						0	0000-00-00	0	0	0	0
117	PGS	PVN Southern Gas	38000000	100	100	17100	VND	1	1	17100	649800000000	0	2012-09-13	12:23:11	45600000000	1200	1200	VND	PVNOGPRVND	0	4.655489684925969						0	0000-00-00	0	0	0	0
118	PVC	Drilling Mud Corp	27719850	100	100	12700	VND	1	1	12700	352042095000	0	2012-09-13	12:23:11				VND	PVNOGPRVND	0	2.522204281213032						0	0000-00-00	0	0	0	0
119	PVG	PVN Northern Gas	256000000	100	100	9300	VND	1	1	9300	2380800000000	0	2012-09-13	12:23:11				VND	PVNOGPRVND	0	17.057232751418507						0	0000-00-00	0	0	0	0
120	PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800	VND	1	1	38800	1664520000000	0	2012-09-13	12:23:11				VND	PVNUTPRVND	0	56.28651435956725						0	0000-00-00	0	0	0	0
121	NT2	PVN Power NhonTrach 2	256000000	100	100	4600	VND	1	1	4600	1177600000000	0	2012-09-13	12:23:11				VND	PVNUTPRVND	0	39.82108914871939						0	0000-00-00	0	0	0	0
122	PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100	VND	1	1	6100	115107000000	0	2012-09-13	12:23:11				VND	PVNUTPRVND	0	3.892396491713352						0	0000-00-00	0	0	0	0
