STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_DATE	NXT_SCURR_CONV	NXT_SMCAP_IDX
PVF	PVN Finance	100000000	100	100	8300	VND	1	1	8300	8.3E+11	9/13/2012	0:00:00	50000000000	500	500	VND	PVNFIPRVND	2.10%						0			
PVI	PVN Insurance	600000000	100	100	15900	VND	1	1	15900	9.54E+12	9/13/2012	0:00:00		  	  	VND	PVNFIPRVND	24.16%						0			
PTL	Petro Capital and Infrastructure Investment	50000000	100	100	2900	VND	1	1	2900	1.45E+11	9/13/2012	0:00:00		  	  	VND	PVNFIPRVND	0.37%						0			
PSI	PVN Securities Incorporated	2000000	100	100	3600	VND	1	1	3600	7200000000	9/13/2012	0:00:00		  	  	VND	PVNFIPRVND	0.02%						0			
PFL	Petro Dong Do Joint Stock Company	59841300	100	100	2700	VND	1	1	2700	1.61572E+11	9/13/2012	0:00:00		  	  	VND	PVNFIPRVND	0.41%						0			
PVT	PVN Transportation	232600000	100	100	4300	VND	1	1	4300	1.00018E+12	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	2.53%						0			
PXI	Petroleum Industrial and Civil Construction	30000000	100	100	4000	VND	1	1	4000	1.2E+11	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.30%						0			
PXM	Mientrung Petroleum Construction	15000000	100	100	3200	VND	1	1	3200	48000000000	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.12%						0			
PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400	VND	1	1	9400	3.52669E+11	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.89%						0			
PXT	Petroleum Pipeline and Tank Construction	20000000	100	100	4200	VND	1	1	4200	84000000000	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.21%						0			
PCT	Cuu Long Petro Gas Service Transportation	23000000	100	100	2900	VND	1	1	2900	66700000000	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.17%						0			
PPS	Petro Vietnam Power Services Joint Stock Company	15000000	100	100	7200	VND	1	1	7200	1.08E+11	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.27%						0			
PVE	PVN Investment Consultancy and Engineering	18000000	100	100	9600	VND	1	1	9600	1.728E+11	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.44%						0			
PVX	PVN Construction	250000000	100	100	5200	VND	1	1	5200	1.3E+12	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	3.29%						0			
PSP	Dinh Vu Petroleum Service Port	22500000	100	100	5300	VND	1	1	5300	1.1925E+11	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.30%						0			
PTT	Indochina Petroleum Transportation	10000000	100	100	1800	VND	1	1	1800	18000000000	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.05%						0			
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800	VND	1	1	38800	1.66452E+12	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	4.21%						0			
PVD	PVN Drilling & Well Services	209740215	100	100	35000	VND	1	1	35000	7.34091E+12	9/13/2012	0:00:00	4.61428E+11	"2,200.00"	"2,200.00"	VND	PVNINPRVND	18.59%						0			
PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100	VND	1	1	6100	1.15107E+11	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.29%						0			
PSG	Saigon Petroleum Constrution And Investment JSC	35000000	100	100	1300	VND	1	1	1300	45500000000	9/13/2012	0:00:00		  	  	VND	PVNINPRVND	0.12%						0			
PVD	PVN Drilling & Well Services	297802094	100	100	35000	VND	1	1	35000	1.04231E+13	9/13/2012	0:00:00	6.55165E+11	"2,200.00"	"2,200.00"	VND	PVNOGPRVND	26.39%						0			
PVS	PVN Technical Services	10000000	100	100	15200	VND	1	1	15200	1.52E+11	9/13/2012	0:00:00		  	  	VND	PVNOGPRVND	0.38%						0			
PGS	PVN Southern Gas	38000000	100	100	17100	VND	1	1	17100	6.498E+11	9/13/2012	0:00:00	45600000000	"1,200.00"	"1,200.00"	VND	PVNOGPRVND	1.65%						0			
PVC	Drilling Mud Corp	27719850	100	100	12700	VND	1	1	12700	3.52042E+11	9/13/2012	0:00:00		  	  	VND	PVNOGPRVND	0.89%						0			
PVG	PVN Northern Gas	256000000	100	100	9300	VND	1	1	9300	2.3808E+12	9/13/2012	0:00:00		  	  	VND	PVNOGPRVND	6.03%						0			
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800	VND	1	1	38800	1.66452E+12	9/13/2012	0:00:00		  	  	VND	PVNUTPRVND	4.21%						0			
NT2	PVN Power NhonTrach 2	256000000	100	100	4600	VND	1	1	4600	1.1776E+12	9/13/2012	0:00:00		  	  	VND	PVNUTPRVND	2.98%						0			
PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100	VND	1	1	6100	1.15107E+11	9/13/2012	0:00:00		  	  	VND	PVNUTPRVND	0.29%						0			
