TICKER	DATES	TIMES	STK_LAST
PIT	2012/09/11	12:00:00	67000
PIV	2012/09/11	12:00:00	0
PJC	2012/09/11	12:00:00	135000
PJT	2012/09/11	12:00:00	75000
PLC	2012/09/11	12:00:00	150000
PMC	2012/09/11	12:00:00	240000
PMS	2012/09/11	12:00:00	0
PNC	2012/09/11	12:00:00	38000
PNJ	2012/09/11	12:00:00	291000
POM	2012/09/11	12:00:00	129000
POT	2012/09/11	12:00:00	78000
PPC	2012/09/11	12:00:00	91000
PPE	2012/09/11	12:00:00	0
PPG	2012/09/11	12:00:00	53000
PPI	2012/09/11	12:00:00	52000
PPP	2012/09/11	12:00:00	0
PPS	2012/09/11	12:00:00	70000
PRC	2012/09/11	12:00:00	68000
PRUBF1	2012/09/11	12:00:00	62000
PSC	2012/09/11	12:00:00	0
PSG	2012/09/11	12:00:00	14000
PSI	2012/09/11	12:00:00	39000
PTB	2012/09/11	12:00:00	120000
PTC	2012/09/11	12:00:00	51000
PTI	2012/09/11	12:00:00	0
PTL	2012/09/11	12:00:00	31000
PTM	2012/09/11	12:00:00	0
PTS	2012/09/11	12:00:00	65000
PV2	2012/09/11	12:00:00	44000
PVA	2012/09/11	12:00:00	55000
PVC	2012/09/11	12:00:00	124000
PVD	2012/09/11	12:00:00	327000
PVE	2012/09/11	12:00:00	95000
PVF	2012/09/11	12:00:00	90000
PVG	2012/09/11	12:00:00	93000
PVI	2012/09/11	12:00:00	159000
PVL	2012/09/11	12:00:00	34000
PVR	2012/09/11	12:00:00	36000
PVS	2012/09/11	12:00:00	151000
PVT	2012/09/11	12:00:00	41000
PVV	2012/09/11	12:00:00	29000
PVX	2012/09/11	12:00:00	54000
PXA	2012/09/11	12:00:00	29000
PXI	2012/09/11	12:00:00	44000
PXL	2012/09/11	12:00:00	33000
PXM	2012/09/11	12:00:00	34000
PXS	2012/09/11	12:00:00	92000
PXT	2012/09/11	12:00:00	44000
QCC	2012/09/11	12:00:00	30000
QCG	2012/09/11	12:00:00	74000
QHD	2012/09/11	12:00:00	0
QNC	2012/09/11	12:00:00	67000
QST	2012/09/11	12:00:00	0
QTC	2012/09/11	12:00:00	0
RAL	2012/09/11	12:00:00	266000
RCL	2012/09/11	12:00:00	163000
RDP	2012/09/11	12:00:00	94000
REE	2012/09/11	12:00:00	146000
RHC	2012/09/11	12:00:00	0
RIC	2012/09/11	12:00:00	53000
S12	2012/09/11	12:00:00	0
S27	2012/09/11	12:00:00	0
S55	2012/09/11	12:00:00	0
S74	2012/09/11	12:00:00	67000
S91	2012/09/11	12:00:00	0
S96	2012/09/11	12:00:00	35000
S99	2012/09/11	12:00:00	39000
SAF	2012/09/11	12:00:00	0
SAM	2012/09/11	12:00:00	68000
SAP	2012/09/11	12:00:00	0
SAV	2012/09/11	12:00:00	73000
SBA	2012/09/11	12:00:00	47000
SBC	2012/09/11	12:00:00	117000
SBS	2012/09/11	12:00:00	33000
SBT	2012/09/11	12:00:00	176000
SC5	2012/09/11	12:00:00	149000
SCC	2012/09/11	12:00:00	35000
SCD	2012/09/11	12:00:00	88000
SCJ	2012/09/11	12:00:00	63000
SCL	2012/09/11	12:00:00	0
SCR	2012/09/11	12:00:00	67000
SD1	2012/09/11	12:00:00	33000
SD2	2012/09/11	12:00:00	67000
SD3	2012/09/11	12:00:00	28000
SD4	2012/09/11	12:00:00	0
SD5	2012/09/11	12:00:00	0
SD6	2012/09/11	12:00:00	52000
SD7	2012/09/11	12:00:00	71000
SD8	2012/09/11	12:00:00	31000
SD9	2012/09/11	12:00:00	71000
SDA	2012/09/11	12:00:00	51000
SDB	2012/09/11	12:00:00	0
SDC	2012/09/11	12:00:00	0
SDD	2012/09/11	12:00:00	29000
SDE	2012/09/11	12:00:00	0
SDG	2012/09/11	12:00:00	0
SDH	2012/09/11	12:00:00	38000
SDJ	2012/09/11	12:00:00	0
SDN	2012/09/11	12:00:00	0
SDP	2012/09/11	12:00:00	38000
SDS	2012/09/11	12:00:00	47000
SDT	2012/09/11	12:00:00	101000
SDU	2012/09/11	12:00:00	0
SDY	2012/09/11	12:00:00	18000
SEB	2012/09/11	12:00:00	228000
SEC	2012/09/11	12:00:00	225000
SED	2012/09/11	12:00:00	91000
SEL	2012/09/11	12:00:00	66000
SFC	2012/09/11	12:00:00	0
SFI	2012/09/11	12:00:00	148000
SFN	2012/09/11	12:00:00	0
SGC	2012/09/11	12:00:00	0
SGD	2012/09/11	12:00:00	0
SGH	2012/09/11	12:00:00	0
SGT	2012/09/11	12:00:00	59000
SHB	2012/09/11	12:00:00	65000
SHC	2012/09/11	12:00:00	27000
SHI	2012/09/11	12:00:00	52000
SHN	2012/09/11	12:00:00	12000
SHS	2012/09/11	12:00:00	53000
SIC	2012/09/11	12:00:00	50000
SJ1	2012/09/11	12:00:00	0
SJC	2012/09/11	12:00:00	67000
SJD	2012/09/11	12:00:00	133000
SJE	2012/09/11	12:00:00	80000
SJM	2012/09/11	12:00:00	0
SJS	2012/09/11	12:00:00	216000
SKS	2012/09/11	12:00:00	0
SMA	2012/09/11	12:00:00	41000
SMC	2012/09/11	12:00:00	138000
SME	2012/09/11	12:00:00	0
SMT	2012/09/11	12:00:00	43000
SNG	2012/09/11	12:00:00	153000
SPM	2012/09/11	12:00:00	275000
SPP	2012/09/11	12:00:00	67000
SQC	2012/09/11	12:00:00	800000
SRA	2012/09/11	12:00:00	0
SRB	2012/09/11	12:00:00	25000
SRC	2012/09/11	12:00:00	123000
SRF	2012/09/11	12:00:00	0
SSC	2012/09/11	12:00:00	325000
SSG	2012/09/11	12:00:00	0
SSI	2012/09/11	12:00:00	169000
SSM	2012/09/11	12:00:00	0
ST8	2012/09/11	12:00:00	108000
STB	2012/09/11	12:00:00	200000
STC	2012/09/11	12:00:00	86000
STG	2012/09/11	12:00:00	145000
STL	2012/09/11	12:00:00	43000
STP	2012/09/11	12:00:00	86000
STT	2012/09/11	12:00:00	0
SVC	2012/09/11	12:00:00	105000
SVI	2012/09/11	12:00:00	225000
SVN	2012/09/11	12:00:00	0
SVS	2012/09/11	12:00:00	35000
SVT	2012/09/11	12:00:00	0
SZL	2012/09/11	12:00:00	115000
TAC	2012/09/11	12:00:00	379000
TAG	2012/09/11	12:00:00	0
TAS	2012/09/11	12:00:00	25000
TBC	2012/09/11	12:00:00	114000
TBX	2012/09/11	12:00:00	0
TC6	2012/09/11	12:00:00	122000
TCL	2012/09/11	12:00:00	137000
TCM	2012/09/11	12:00:00	65000
TCO	2012/09/11	12:00:00	0
TCR	2012/09/11	12:00:00	48000
TCS	2012/09/11	12:00:00	123000
TCT	2012/09/11	12:00:00	720000
TDC	2012/09/11	12:00:00	78000
TDH	2012/09/11	12:00:00	114000
