STK_CODE	STK_NAME	 STK_SHARES_IDX 	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	 STK_MCAP_IDX 	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	 NXT_SHARES_IDX 	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_CAP	NXT_DATE	IDEX
PGS	PVN Southern Gas	 38,000,000 	100	100	22000.000	VND	1	1.00	22000.000	 836,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	1.85%	  					0	 836,000,000,000 	2012/03/15	PVNASPR
POV	Vung Ang Petroleum	 10,000,000 	100	100	7000.000	VND	1	1.00	7000.000	 70,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.16%	  					0	 70,000,000,000 	2012/03/15	PVNASPR
PPE	PetroVietnam Power Engineering Consulting JSC	 2,000,000 	100	100	6400.000	VND	1	1.00	6400.000	 12,800,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.03%	  					0	 12,800,000,000 	2012/03/15	PVNASPR
PPS	Petro Vietnam Power Services Joint Stock Company	 15,000,000 	100	100	12400.000	VND	1	1.00	12400.000	 186,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.41%	  					0	 186,000,000,000 	2012/03/15	PVNASPR
PSI	PVN Securities Incorporated	 59,841,300 	100	100	4700.000	VND	1	1.00	4700.000	 281,254,110,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.62%	  					0	 281,254,110,000 	2012/03/15	PVNASPR
PSP	Dinh Vu Petroleum Service Port	 22,500,000 	100	100	5000.000	VND	1	1.00	5000.000	 112,500,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.25%	  					0	 112,500,000,000 	2012/03/15	PVNASPR
PTL	Petro Capital and Infrastructure Investment	 98,865,080 	100	100	4700.000	VND	1	1.00	4700.000	 464,665,876,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	1.03%	  					0	 464,665,876,000 	2012/03/15	PVNASPR
PTT	Indochina Petroleum Transportation	 10,000,000 	100	100	2000.000	VND	1	1.00	2000.000	 20,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.04%	  					0	 20,000,000,000 	2012/03/15	PVNASPR
PVC	Drilling Mud Corp	 35,000,000 	100	100	14000.000	VND	1	1.00	14000.000	 490,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	1.09%	  					0	 490,000,000,000 	2012/03/15	PVNASPR
PVD	PVN Drilling & Well Services	 209,567,165 	100	100	37100.000	VND	1	1.00	37100.000	 7,774,941,821,500 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	17.24%	  					0	 7,774,941,821,500 	2012/03/15	PVNASPR
PVE	PVN Investment Consultancy and Engineering	 18,000,000 	100	100	11200.000	VND	1	1.00	11200.000	 201,600,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.45%	  					0	 201,600,000,000 	2012/03/15	PVNASPR
