ticker	market	yyyymm	date	svolume	sturnover	svelo	nb	nbt	shares_lis	pr_cls	ssnb	ssnbt	ssturnover	ssvolume	ssvelo
LGL	HSX	201208	41152	3300300	1764946000	16.5021	23	23	19999275	4000	250	244	32974174000	15801880	79.0123
LHG	HSX	201208	41152	1030000	2137337000	3.949	23	10	26082627	15800	249	179	29598191000	18555330	89.8937
LIX	HSX	201208	41152	2912310	1229753000	26.9658	23	18	10800000	27500	250	218	37175967000	20516450	220.526
LM8	HSX	201208	41152	2191570	2509010000	27.2245	23	23	8050000	10000	250	244	23113317000	34558740	429.3013
LSS	HSX	201208	41152	631020	10128540000	1.262	23	23	50000000	18300	250	250	60027052000	19979640	40.4499
MBB	HSX	201208	41152	6519386	806968000	0.6519	23	23	1000000000	13700	208	208	6805367000	49681072	5.8983
MCG	HSX	201208	41152	3058560	10172775000	5.3183	23	23	57510000	4700	250	250	58552669000	48418807	84.192
MCP	HSX	201208	41152	2147530	2624606000	20.7701	23	21	10339520	12800	250	241	27885934000	16177440	158.3215
MDG	HSX	201208	41152	343540	1416967000	3.1549	23	23	10889031	4000	250	248	42264028000	11646080	106.9524
MHC	HSX	201208	41152	995820	2928065000	7.3462	23	23	13555514	2600	250	249	16080130000	12357410	91.1616
MPC	HSX	201208	41152	1607240	3140604000	2.2961	23	23	70000000	28000	250	246	53913661000	17149960	24.5
MSN	HSX	201208	41152	1305720	2522414000	0.2089	23	23	687280123	96000	250	250	7337148000	25879440	4.9781
MTG	HSX	201208	41152	1272080	4521042000	10.6007	23	23	11999995	3600	250	250	45827245000	16869533	140.5796
NAV	HSX	201208	41152	693650	1159182000	8.6706	23	22	8000000	7000	250	222	18237759000	18406480	230.0813
NBB	HSX	201208	41152	1775160	1866831000	11.527	23	20	15400000	31900	250	203	38898618000	21574500	140.0942
NHS	HSX	201208	41152	1098300	5498970000	10.8474	23	23	10125000	26000	249	230	50223529000	15336330	182.7918
NHW	HSX	201208	41152	820760	408864000	3.5762	23	5	22950627	9500	250	67	8532838000	9804490	42.72
NKG	HSX	201208	41152	223980	2736545000	0.7491	23	23	29900000	11700	250	250	55999397000	13702260	46.5856
NNC	HSX	201208	41152	2695410	4108350000	30.7408	23	22	8768175	32900	250	229	32853739000	26380500	300.8665
NSC	HSX	201208	41152	2210490	2671164000	26.7738	23	23	8256161	42000	250	238	35270833000	26047590	317.9923
NTB	HSX	201208	41152	2516010	5374587000	6.3249	23	23	39779577	5000	250	250	54708191000	59973703	165.7716
NTL	HSX	201208	41152	4817750	884659000	7.5751	23	23	63600000	17000	250	250	14107846000	70816782	111.3473
NVN	HSX	201208	41152	2001520	1588838000	18.7816	23	23	10656800	4900	250	212	28100502000	12560250	117.8614
NVT	HSX	201208	41152	7960990	7552258000	13.1587	23	23	60500000	4000	250	250	59570043000	70466893	116.4742
OGC	HSX	201208	41152	7882078	299445000	2.6274	23	23	300000000	10600	250	250	5441686000	73073864	26.616
OPC	HSX	201208	41152	2861230	2499084000	22.6213	23	22	12856860	37000	250	233	48831415000	14614760	121.527
PAC	HSX	201208	41152	143620	2230124000	0.5322	23	22	26987843	15900	250	249	40149575000	18135790	67.1999
PAN	HSX	201208	41152	567720	5907328000	4.9153	23	23	11550000	17300	250	239	46590934000	11598810	100.4227
PDN	HSX	201208	41152	513230	2415688000	6.2346	23	14	8231998	24000	212	126	19422439000	8310590	99.6582
PDR	HSX	201208	41152	2453850	1964406000	1.8847	23	16	130200000	12500	250	228	40648827000	10891940	8.3655
PET	HSX	201208	41152	2874450	6622361000	4.1156	23	23	69842000	11400	250	250	25137711000	67727292	96.9721
PGC	HSX	201208	41152	9386100	1351554000	27.2482	23	23	34446699	11400	250	250	46509886000	38694980	112.3329
PGD	HSX	201208	41152	5813810	687240000	13.552	23	23	42900000	35200	250	247	48814685000	20061600	46.7636
PGI	HSX	201208	41152	616580	3783557000	0.8687	23	23	70974218	8000	250	246	45692348000	10733290	15.1227
PHR	HSX	201208	41152	1793970	4524166000	2.2066	23	23	81300000	26500	250	249	53863499000	24893720	30.6195
PHT	HSX	201208	41152	445930	2527763000	2.2297	23	23	19999993	5600	250	250	61335496000	13339590	66.6983
PIT	HSX	201208	41152	1317650	2183662000	10.5353	23	20	12831455	7100	250	242	27865918000	10989900	88.6855
PJT	HSX	201208	41152	1734200	2282544000	20.6452	23	23	8400000	7900	250	248	24448555000	17054380	203.0282
PNC	HSX	201208	41152	572060	2485282000	5.6871	23	23	10058906	4100	250	248	27087486000	12829050	127.5392
PNJ	HSX	201208	41152	713790	8034613000	1.1897	23	23	59999142	30000	250	249	27650072000	29787610	49.6468
POM	HSX	201208	41152	1435670	6245826000	0.7659	23	23	187449951	12900	250	248	45972426000	13691570	7.3041
PPC	HSX	201208	41152	2287290	7509724000	0.7011	23	23	326235000	9600	250	250	32366646000	74749449	22.9127
PPI	HSX	201208	41152	995850	2308571000	8.1515	23	23	12216733	5300	250	250	50226293000	13208810	108.1206
PTB	HSX	201208	41152	1757420	2190929000	14.6444	23	23	12000646	11800	250	230	43507435000	12994380	124.1508
PTC	HSX	201208	41152	3816180	6505558000	38.1618	23	23	10000000	6000	250	249	42505093000	61018993	610.1899
PTL	HSX	201208	41152	3372280	8477198000	3.3723	23	23	100000000	3600	250	250	55031707000	61035118	61.0352
PVD	HSX	201208	41152	4505200	402887000	2.1402	23	23	210508215	35200	250	250	14594718000	42636823	20.2541
PVF	HSX	201208	41152	9421261	217242000	1.5702	23	23	600000000	10500	250	250	3489161000	76727398	12.788
PVT	HSX	201208	41152	9741572	3938558000	4.1881	23	23	232600000	4500	250	250	37579763000	83902925	36.0717
