STK_CODE	DATE	CLOSE	ADCLOSE
PVS	2010/08/09	28800.00	
PVS	2010/08/06	29500.00	
PVS	2010/08/05	29900.00	
PVS	2010/08/04	30000.00	
PVS	2010/08/03	30100.00	
PVS	2010/08/02	30100.00	
PVS	2010/07/30	30100.00	
PVS	2010/07/29	30300.00	
PVS	2010/07/28	30200.00	
PVS	2010/07/27	30400.00	
PVS	2010/07/26	30300.00	
PVS	2010/07/23	30700.00	
PVS	2010/07/22	30600.00	
PVS	2010/07/21	30700.00	
PVS	2010/07/20	30900.00	
PVS	2010/07/19	30900.00	
PVS	2010/07/16	31100.00	
PVS	2010/07/15	31100.00	
PVS	2010/07/14	31600.00	
PVS	2010/07/13	31700.00	
PVS	2010/07/12	31100.00	
PVS	2010/07/09	30900.00	
PVS	2010/07/08	31100.00	
PVS	2010/07/07	30900.00	
PVS	2010/07/06	30900.00	
PVS	2010/07/05	31300.00	
PVS	2010/07/02	31300.00	
PVS	2010/07/01	31000.00	
PVS	2010/06/30	30800.00	
PVS	2010/06/29	31300.00	
PVS	2010/06/28	31200.00	
PVS	2010/06/25	31100.00	
PVS	2010/06/24	31800.00	
PVS	2010/06/23	31500.00	
PVS	2010/06/22	31500.00	
PVS	2010/06/21	31900.00	
PVS	2010/06/18	31800.00	
PVS	2010/06/17	31500.00	
PVS	2010/06/16	31500.00	
PVS	2010/06/15	30800.00	
PVS	2010/06/14	31000.00	
PVS	2010/06/11	30900.00	
PVS	2010/06/10	30900.00	
PVS	2010/06/09	30800.00	
PVS	2010/06/08	31200.00	
PVS	2010/06/07	30500.00	
PVS	2010/06/04	31900.00	
PVS	2010/06/03	31800.00	
PVS	2010/06/02	31900.00	
PVS	2010/06/01	31900.00	
PVS	2010/05/31	32100.00	
PVS	2010/05/28	33500.00	
PVS	2010/05/27	31500.00	
PVS	2010/05/26	32000.00	
PVS	2010/05/25	30900.00	
PVS	2010/05/24	31400.00	
PVS	2010/05/21	30000.00	
PVS	2010/05/20	32000.00	
PVS	2010/05/19	31200.00	
PVS	2010/05/18	32500.00	
PVS	2010/05/17	33900.00	
PVS	2010/05/14	34000.00	
PVS	2010/05/13	35000.00	
PVS	2010/05/12	36100.00	
PVS	2010/05/11	38800.00	
PVS	2010/05/07	36900.00	
PVS	2010/05/06	36700.00	
PVS	2010/05/05	35400.00	
PVS	2010/05/04	35800.00	
PVS	2010/04/29	34900.00	
PVS	2010/04/28	33900.00	
PVS	2010/04/27	34200.00	
PVS	2010/04/26	33900.00	
PVS	2010/04/22	35000.00	
PVS	2010/04/21	35300.00	
PVS	2010/04/20	35000.00	
PVS	2010/04/19	36200.00	
PVS	2010/04/16	34000.00	
PVS	2010/04/15	33900.00	
PVS	2010/04/14	33200.00	
PVS	2010/04/13	32100.00	
PVS	2010/04/12	33000.00	
PVS	2010/04/09	33200.00	
PVS	2010/04/08	33300.00	
PVS	2010/04/07	31500.00	
PVS	2010/04/06	31100.00	
PVS	2010/04/05	31500.00	
PVS	2010/04/02	30900.00	
PVS	2010/04/01	31100.00	
PVS	2010/03/31	30500.00	
PVS	2010/03/30	30600.00	
PVS	2010/03/29	30900.00	
PVS	2010/03/26	31000.00	
PVS	2010/03/25	31000.00	
PVS	2010/03/24	31800.00	
PVS	2010/03/23	31800.00	
PVS	2010/03/22	32200.00	
PVS	2010/03/19	32400.00	
PVS	2010/03/18	32800.00	
PVS	2010/03/17	32000.00	
PVS	2010/03/16	31800.00	
PVS	2010/03/15	32900.00	
PVS	2010/03/12	33600.00	
PVS	2010/03/11	33300.00	
PVS	2010/03/10	33700.00	
PVS	2010/03/09	34000.00	
PVS	2010/03/08	32200.00	
PVS	2010/03/05	31800.00	
PVS	2010/03/04	31500.00	
PVS	2010/03/03	31300.00	
PVS	2010/03/02	30500.00	
PVS	2010/03/01	30500.00	
PVS	2010/02/26	30000.00	
PVS	2010/02/25	30200.00	
PVS	2010/02/24	30300.00	
PVS	2010/02/23	30400.00	
PVS	2010/02/22	31500.00	
PVS	2010/02/12	31000.00	
PVS	2010/02/11	31000.00	
PVS	2010/02/10	30100.00	
PVS	2010/02/09	29700.00	
PVS	2010/02/08	30700.00	
PVS	2010/02/05	30600.00	
PVS	2010/02/04	31000.00	
PVS	2010/02/03	30800.00	
PVS	2010/02/02	30800.00	
PVS	2010/02/01	31000.00	
PVS	2010/01/29	30900.00	
PVS	2010/01/28	30600.00	
PVS	2010/01/27	30800.00	
PVS	2010/01/26	32300.00	
PVS	2010/01/25	30500.00	
PVS	2010/01/22	30400.00	
PVS	2010/01/21	30600.00	
PVS	2010/01/20	31000.00	
PVS	2010/01/19	31100.00	
PVS	2010/01/18	30600.00	
PVS	2010/01/15	31700.00	
PVS	2010/01/14	31900.00	
