ticker	market	ftrd	ftrd_shli	ftrd_cls	enddate
LHC	HNX	2010/01/13	2000000	60000	
LHG	HSX	2010/03/23	20000000	48000	
LIG	HNX	2010/04/22	6000000	49500	
LIX	HSX	2009/12/10	9000000	61500	
LM3	HNX	2009/12/01	5150000	18500	
LM7	HNX	2010/10/28	4957000	11000	
LM8	HSX	2010/11/15	8050000	17000	
LO5	HNX	2009/12/21	5000000	16500	
LSS	HSX	2008/01/09	30000000	39000	
LTC	HNX	2006/12/14	700000	45000	
LUT	HNX	2008/01/04	5500000	67000	
MAC	HNX	2009/12/24	3200000	18900	
MAFPF1	HSX	2007/12/28	21409530	10200	
MAS	UPC	2009/09/09	1669115	20000	
MAX	HNX	2011/06/22	7200000	19000	
MAX	UPC	2010/09/15	7200000	24800	2011/06/16
MCC	HNX	2010/04/26	4668300	30100	
MCF	HNX	2011/02/14	3500000	17500	
MCG	HSX	2009/09/24	13200000	30000	
MCL	HNX	2010/12/13	2220000	20400	
MCO	HNX	2006/12/21	1100000	30800	
MCP	HSX	2006/12/28	3000000	40000	
MCV	HSX	2006/12/11	3100000	42000	
MDC	HNX	2009/07/23	12085000	24000	
MDF	UPC	2011/02/25	34445997	0	
MDG	HSX	2011/01/12	9900000	20000	
MEC	HNX	2006/12/14	1000000	21500	
MEF	UPC	2011/11/30	2900000	34000	
MHC	HSX	2005/03/21	6705640	19000	
MHL	HNX	2009/11/26	2000000	18000	
MIC	HNX	2007/12/21	1295000	286000	
MIH	HNX	2010/06/29	4000000	51000	
MIM	HNX	2010/08/16	2032895	35000	
MJC	UPC	2010/07/28	1596620	20000	
MKP	HSX	2010/06/02	9210000	72000	
MKV	HNX	2008/11/21	1000000	16600	
MMC	HNX	2008/07/28	1200000	65000	
MNC	HNX	2010/12/16	7017130	10100	
MPC	HSX	2007/12/20	60000000	70000	
MPC	HNX	2006/12/27	60000000	82000	2007/12/04
MSN	HSX	2009/11/05	476399820	43200	
MTG	HSX	2009/01/15	8000000	13600	
MTH	UPC	2011/02/10	1477750	0	
MTP	UPC	2010/09/23	2000000	27500	
NAG	HNX	2009/09/22	10000000	29000	
NAV	HSX	2006/12/22	2500000	90000	
NBB	HSX	2009/02/18	15400000	21600	
NBC	HNX	2006/12/27	6000000	37000	
NBP	HNX	2009/08/06	12865500	27000	
NBS	UPC	2012/11/19	3153200	0	
NBW	UPC	2010/05/04	10900000	0	
ND2	UPC	2010/07/22	13200627	15200	
NDC	UPC	2010/03/11	5680000	0	
NDN	HNX	2011/04/21	9000000	11400	
NET	HNX	2010/09/15	4500000	105000	
NGC	HNX	2008/03/06	1000000	30000	
NHA	HNX	2010/07/13	5890000	45500	
NHC	HNX	2009/06/17	1520771	15500	
NHC	HSX	2005/12/16	1336061	23000	2009/06/08
NHN	UPC	2011/11/10	200000000	30000	
NHS	HSX	2010/07/02	8100000	38000	
NHW	HSX	2010/01/26	22950627	26400	
NIS	HNX	2010/09/16	3000000	12200	
NKD	HSX	2004/12/15	5000000	27000	
NKG	HSX	2011/01/14	23000000	29900	
NLC	HNX	2006/12/14	5000000	25000	
NNC	HSX	2010/06/23	8768175	59000	
NOS	UPC	2011/01/11	11456000	10000	
NPS	HNX	2006/12/27	1059300	20000	
NSC	HSX	2006/12/21	3000000	55000	
NSN	HNX	2010/05/20	2540644	21800	
NSP	UPC	2011/01/19	5000000	10000	
NST	HNX	2006/12/29	2790000	30300	
NT2	UPC	2010/01/22	256000000	13000	
NTB	HSX	2010/05/17	36000000	37000	
NTL	HSX	2007/12/21	8200000	270000	
NTP	HNX	2006/12/11	14446000	145300	
NVC	HNX	2008/01/24	16000000	37000	
NVN	HSX	2010/03/30	10656800	28800	
NVT	HSX	2010/05/07	50500000	30000	
OCH	HNX	2010/10/01	100000000	26800	
OGC	HSX	2010/05/04	250000000	36000	
ONE	HNX	2008/06/25	2000000	25000	
OPC	HSX	2008/10/30	8190000	62500	
ORS	HNX	2010/07/12	24000000	13200	
PAC	HSX	2006/12/12	10263000	40000	
PAN	HSX	2010/12/15	11550000	19900	
PAN	HNX	2006/12/22	3200000	59500	2010/11/24
PCG	HNX	2010/12/29	18870000	12100	
PCT	HNX	2011/09/12	23000000	7000	
PCT	UPC	2010/08/05	23000000	11200	2010/08/31
PDC	HNX	2009/09/29	15000000	22000	
PDN	HSX	2011/10/26	8231998	30000	
PDN	UPC	2010/06/04	5145000	40000	2011/07/28
PDR	HSX	2010/07/30	130200000	39500	
PEC	UPC	2010/10/06	3123000	26000	
PET	HSX	2007/09/12	25530000	58000	
PFL	HNX	2010/11/17	50000000	10900	
PFV	UPC	2010/06/15	60000000	0	
PGC	HSX	2006/11/24	20000000	68000	
PGD	HSX	2009/11/26	33000000	52000	
PGI	HSX	2011/07/29	70974218	10300	
PGS	HNX	2007/11/15	15000000	71900	
PGT	HNX	2009/12/25	8802187	11800	
PHC	HNX	2009/11/05	2940000	35000	
PHH	HNX	2010/03/17	5000000	40000	
PHR	HSX	2009/08/18	81300000	43200	
PHS	HNX	2010/06/09	30000000	21000	
PHT	HSX	2009/09/28	11000000	30000	
PID	HNX	2012/11/22	4000000	6500	
PIT	HSX	2008/01/24	9770479	52000	
PIV	HNX	2010/08/18	1200000	20400	
PJC	HNX	2006/12/25	1563150	25200	
PJS	UPC	2011/12/05	9000000	15000	
PJT	HSX	2006/12/28	3500000	45000	
PLC	HNX	2006/12/27	15000000	65000	
PMC	HNX	2009/10/09	6481634	85000	
PMS	HNX	2009/06/08	5200000	15900	
PMS	HSX	2003/11/04	3200000	14500	2009/05/29
PMT	UPC	2010/07/22	5000000	15100	
PNC	HSX	2005/07/11	2000000	16000	
PNJ	HSX	2009/03/23	30000000	45600	
POM	HSX	2010/04/20	163000000	48000	
POT	HNX	2006/12/20	14998600	61800	
POV	UPC	2010/09/23	10000000	0	
PPC	HSX	2007/01/26	310700000	105000	
PPC	HNX	2006/05/19	307196006	36900	2007/01/11
PPE	HNX	2011/09/21	2000000	8100	
PPG	HNX	2006/12/20	4000000	48500	
PPI	HSX	2010/04/12	10014753	38400	
PPP	HNX	2011/07/18	2335500	10500	
PPP	UPC	2009/06/24	2200000	17300	2011/07/08
PPS	HNX	2011/01/07	15000000	13400	
PRC	HNX	2010/11/29	1178890	25800	
PRUBF1	HSX	2006/12/18	50000000	14000	
PSB	UPC	2010/02/25	50000000	11000	
PSC	HNX	2006/12/29	1290000	38600	
PSG	HNX	2011/03/15	35000000	9000	
PSI	HNX	2010/07/21	48500000	19700	
PSL	UPC	2010/05/17	4500000	0	
PSP	UPC	2009/11/10	22500000	25000	
PTB	HSX	2011/07/22	8599760	16000	
PTC	HSX	2008/12/15	10000000	10000	
PTC	HNX	2006/12/25	5000000	46800	2008/11/20
PTD	UPC	2011/01/14	1000000	11100	
PTG	UPC	2010/01/04	1516540	0	
PTI	HNX	2011/03/02	45000000	14600	
PTK	HSX	2012/09/25	21600000	14400	
PTL	HSX	2010/09/22	100000000	20000	
PTM	HNX	2009/01/16	1302300	11900	
PTP	UPC	2009/12/10	6800000	25000	
PTS	HNX	2006/12/01	1740000	27100	
PTT	UPC	2010/04/29	10000000	0	
PV2	HNX	2010/12/16	18250708	12500	
PVA	HNX	2008/12/12	4500000	13900	
PVC	HNX	2007/11/15	12000000	170000	
PVD	HSX	2006/12/05	68000000	130000	
PVE	HNX	2008/01/02	3451996	124000	
PVG	HNX	2009/01/07	26617000	11300	
PVI	HNX	2007/08/10	50000000	91900	
PVL	HNX	2010/04/15	50000000	31600	
PVR	HNX	2010/06/21	30000000	28900	
PVS	HNX	2007/09/20	100000000	126000	
PVT	HSX	2007/12/10	72000000	96000	
PVV	HNX	2010/09/09	4500000	39900	
PVX	HNX	2009/08/19	150000000	27000	
PX1	UPC	2010/12/01	20000000	0	
PXA	HNX	2011/02/22	10800000	13500	
PXI	HSX	2010/06/21	30000000	28900	
PXL	HSX	2010/12/09	82722212	14400	
PXM	HSX	2010/06/21	15000000	22300	
PXS	HSX	2010/06/02	20000000	25600	
PXT	HSX	2010/06/01	20000000	25600	
QCC	HNX	2010/10/06	1500000	16200	
QCG	HSX	2010/08/09	60157495	45500	
QHD	HNX	2010/04/22	2742270	70000	
QNC	HNX	2008/01/17	12500000	53000	
QST	HNX	2009/02/16	1350000	20300	
QTC	HNX	2009/01/16	1200000	16000	
RAL	HSX	2006/12/06	7915000	86000	
RCL	HNX	2007/06/14	1500000	181500	
RDP	HSX	2009/09/22	11500000	18000	
