TABLE	DBF	FIELD	FIELD_DBF	HEADER	WIDTH	ALIGN	FORMAT	DECIMAL	ORDER	EDITTYPE	EDITOPTION	FIELD_LEN	EXAMPLE
IDX_COMPOSITION	IDX_COMPOSITION	idx_curr	IDX_CURR	IDXCURR	200	C	C	0	19	textarea	255		
IDX_COMPOSITION	IDX_COMPOSITION	idx_code	IDX_CODE	IDXCODE	200	C	C	0	20	textarea	255	PVNASVND	
IDX_COMPOSITION	IDX_COMPOSITION	stk_wgt	STK_WGT	STKWGT	50	C	F	0	21	text	0		
IDX_COMPOSITION	IDX_COMPOSITION	nxt_shares_idx	NXT_SHARES_IDX	NXTSHARESIDX	50	C	DB	0	22	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	nxt_float_idx	NXT_FLOAT_IDX	NXTFLOATIDX	50	C	F	0	23	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	nxt_capp_idx	NXT_CAPP_IDX	NXTCAPPIDX	50	C	F	0	24	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	nxt_price	NXT_PRICE	NXTPRICE	50	C	F	0	25	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	nxt_adjust	NXT_ADJUST	NXTADJUST	50	C	F	0	26	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	to_adjust	TO_ADJUST	TOADJUST	50	C	smallint	0	27	text	6	0	
IDX_SPECS	IDX_SPECS	id	ID	ID	50	C	N	0	1	text	10	22352	
IDX_SPECS	IDX_SPECS	idx_code	IDX_CODE	IDXCODE	200	C	C	0	2	textarea	255	PVNASVND	
IDX_SPECS	IDX_SPECS	idx_name	IDX_NAME	IDXNAME	200	C	C	0	3	textarea	255		
IDX_SPECS	IDX_SPECS	idx_curr	IDX_CURR	IDXCURR	200	C	C	0	4	textarea	255		
IDX_SPECS	IDX_SPECS	idx_base	IDX_BASE	IDXBASE	100	C	F	0	5	text	NULL		
IDX_SPECS	IDX_SPECS	idx_type	IDX_TYPE	IDXTYPE	200	C	C	0	6	textarea	255	NULL	
IDX_SPECS	IDX_SPECS	idx_mother	IDX_MOTHER	IDXMOTHER	200	C	C	0	7	textarea	255	NULL	
IDX_SPECS	IDX_SPECS	idx_divisor	IDX_DIVISOR	IDXDIVISOR	200	C	DB	0	8	textarea	1.00E+12		
IDX_SPECS	IDX_SPECS	idx_mcap	IDX_MCAP	IDXMCAP	200	C	DB	0	9	textarea	5.77E+13		
IDX_SPECS	IDX_SPECS	idx_last	IDX_LAST	IDXLAST	200	C	DB	0	10	textarea	0		
IDX_SPECS	IDX_SPECS	dates	DATES	DATES	50	C	D	0	11	text	8	41162	
IDX_SPECS	IDX_SPECS	times	TIMES	TIMES	50	C	T	0	12	text	8	0	
IDX_SPECS	IDX_SPECS	records	RECORDS	RECORDS	50	C	N	0	13	text	10	24	
IDX_SPECS	IDX_SPECS	calculs	CALCULS	CALCULS	50	C	smallint	0	14	text	6	1	
IDX_SPECS	IDX_SPECS	publications	PUBLICATIONS	PUBLICATIONS	50	C	smallint	0	15	text	6	0	
IDX_SPECS	IDX_SPECS	idx_plast	IDX_PLAST	IDXPLAST	50	C	F	0	16	text	NULL		
IDX_SPECS	IDX_SPECS	idx_dcap	IDX_DCAP	IDXDCAP	50	C	DB	0	17	text	0		
IDX_SPECS	IDX_SPECS	to_adjust	TO_ADJUST	TOADJUST	50	C	smallint	0	18	text	6	0	
IDX_SPECS	IDX_SPECS	idx_mcap_nxt	IDX_MCAP_NXT	IDXMCAPNXT	50	C	DB	0	19	text	0		
IDX_SPECS	IDX_SPECS	idx_divisor_nxt	IDX_DIVISOR_NXT	IDXDIVISORNXT	50	C	DB	0	20	text	0		
IDX_SPECS	IDX_SPECS	idx_bbs	IDX_BBS	IDXBBS	200	C	C	0	21	textarea	255	NULL	
IDX_SPECS	IDX_SPECS	idx_var	IDX_VAR	IDXVAR	200	C	C	0	22	textarea	255	NULL	
IDX_SPECS	IDX_SPECS	idx_pclose	IDX_PCLOSE	IDXPCLOSE	200	C	DB	0	23	textarea	5570.325014		
IDX_CA	IDX_CA	id	ID	ID	200	C	N	0	1	textarea	10	282	
IDX_CA	IDX_CA	stk_code	STK_CODE	STKCODE	200	C	C	0	2	textarea	255	PVX	
IDX_CA	IDX_CA	id_ca	ID_CA	IDCA	200	C	C	0	3	textarea	255	RIGHTS	
IDX_CA	IDX_CA	dates	DATES	DATES	50	C	D	0	4	text	8	40882	
IDX_CA	IDX_CA	times	TIMES	TIMES	50	C	T	0	5	text	8	0.410185185	
IDX_CA	IDX_CA	ex_date	EX_DATE	EXDATE	50	C	D	0	6	text	8	40889	
IDX_CA	IDX_CA	effective_date	EFFECTIVE_DATE	EFFECTIVEDATE	50	C	D	0	7	text	8	0000-00-00	
IDX_CA	IDX_CA	title	TITLE	TITLE	200	C	C	0	8	textarea	255	PVX: Issues right for current shareholders	
IDX_CA	IDX_CA	description	DESCRIPTION	DESCRIPTION	200	C	C	0	9	textarea	255	"<p style=""text-align: justify;"">- Intensive number..."	
IDX_CA	IDX_CA	author	AUTHOR	AUTHOR	200	C	C	0	10	textarea	64	haidn	
IDX_CA	IDX_CA	poster	POSTER	POSTER	200	C	C	0	11	textarea	64	haidn	
IDX_CA	IDX_CA	active	ACTIVE	ACTIVE	50	C	N	0	12	text	1	1	
IDX_CA	IDX_CA	date_cre	DATE_CRE	DATECRE	50	C	D	0	13	text	8	41031	
IDX_CA	IDX_CA	date_update	DATE_UPDATE	DATEUPDATE	50	C	D	0	14	text	8	41031	
IDX_CA	IDX_CA	files	FILES	FILES	200	C	C	0	15	textarea	255	http://www.hnx.vn/default.asp?actType=2&TypeGrp=1&...	
IDX_CA	IDX_CA	language	LANGUAGE	LANGUAGE	200	C	C	0	16	textarea	255	en	
IDX_CA	IDX_CA	id_pvnca	ID_PVNCA	IDPVNCA	50	C	N	0	17	text	11	5	
IDX_CA	IDX_CA	idx_code	IDX_CODE	IDXCODE	200	C	C	0	18	textarea	255	NULL	
STK_DIV	STK_DIV	id	ID	ID	50	C	N	0	1	text	11	1	
STK_DIV	STK_DIV	exdate	EXDATE	EXDATE	50	C	D	0	2	text	8	40438	
STK_DIV	STK_DIV	stk_code	STK_CODE	STKCODE	200	C	C	0	3	textarea	255	PVE	
STK_DIV	STK_DIV	stk_name	STK_NAME	STKNAME	200	C	C	0	4	textarea	255	PVN Investment Consultancy & Engineering	
STK_DIV	STK_DIV	stk_divnet	STK_DIVNET	STKDIVNET	50	C	F	0	5	text	1		
STK_DIV	STK_DIV	stk_divgross	STK_DIVGROSS	STKDIVGROSS	50	C	F	0	6	text	1.5		
SUMMARY	SUMMARY	no	NO	NO	50	C	N	0	1	text	11	1	
SUMMARY	SUMMARY	code	CODE	CODE	50	C	C	0	2	text	50	PCG	
SUMMARY	SUMMARY	name	NAME	NAME	200	C	C	0	3	textarea	255	PetroVietnam Gas City Investment and Development JSC	
SUMMARY	SUMMARY	shares	SHARES	SHARES	50	C	N	0	4	text	11	18870000	
SUMMARY	SUMMARY	float	FLOAT	FLOAT	50	C	N	0	5	text	11	100	
SUMMARY	SUMMARY	capping	CAPPING	CAPPING	50	C	N	0	6	text	11	100	
SUMMARY	SUMMARY	stk_price	STK_PRICE	STKPRICE	50	C	N	0	7	text	11	4300	
SUMMARY	SUMMARY	stk_mcap_idx	STK_MCAP_IDX	STKMCAPIDX	200	C	N	0	8	textarea	255	81141000000	
FILESLIST	FILESLIST	nr	NR	NR	50	C	N	0	1	text	11	1	
FILESLIST	FILESLIST	table	TABLE	TABLE	100	C	C	0	2	text	50	IDX_CALENDAR	
FILESLIST	FILESLIST	mysql	MYSQL	MYSQL	100	C	C	0	3	text	50	IDX_CALENDAR	
FILESLIST	FILESLIST	dbf	DBF	DBF	100	C	C	0	4	text	50	IDX_CALENDAR	
FILESLIST	FILESLIST	txt	TXT	TXT	100	C	C	0	5	text	50	IDX_CALENDAR.TXT	
FILESLIST	FILESLIST	active	ACTIVE	ACTIVE	50	C	N	0	6	text	11	9	
