TICKER	DATES	TIMES	STK_LAST
CTC	2012/09/13	12:00:00	6200
CTM	2012/09/13	12:00:00	0
CTN	2012/09/13	12:00:00	4300
CTS	2012/09/13	12:00:00	6500
CTV	2012/09/13	12:00:00	0
CTX	2012/09/13	12:00:00	8500
CVN	2012/09/13	12:00:00	6700
CVT	2012/09/13	12:00:00	8700
CX8	2012/09/13	12:00:00	0
D11	2012/09/13	12:00:00	10900
DAC	2012/09/13	12:00:00	0
DAD	2012/09/13	12:00:00	8200
DAE	2012/09/13	12:00:00	9300
DBC	2012/09/13	12:00:00	20400
DBT	2012/09/13	12:00:00	0
DC2	2012/09/13	12:00:00	6500
DC4	2012/09/13	12:00:00	0
DCS	2012/09/13	12:00:00	3800
DHI	2012/09/13	12:00:00	5900
DHL	2012/09/13	12:00:00	8100
DHT	2012/09/13	12:00:00	33600
DID	2012/09/13	12:00:00	0
DIH	2012/09/13	12:00:00	10900
DL1	2012/09/13	12:00:00	9300
DLR	2012/09/13	12:00:00	10700
DNC	2012/09/13	12:00:00	0
DNM	2012/09/13	12:00:00	0
DNP	2012/09/13	12:00:00	0
DNY	2012/09/13	12:00:00	7600
DPC	2012/09/13	12:00:00	0
DST	2012/09/13	12:00:00	0
DTC	2012/09/13	12:00:00	0
DXP	2012/09/13	12:00:00	25800
DZM	2012/09/13	12:00:00	6100
EBS	2012/09/13	12:00:00	7400
ECI	2012/09/13	12:00:00	8500
EFI	2012/09/13	12:00:00	5900
EID	2012/09/13	12:00:00	0
FDT	2012/09/13	12:00:00	17900
FLC	2012/09/13	12:00:00	7000
GBS	2012/09/13	12:00:00	12800
GFC	2012/09/13	12:00:00	0
GGG	2012/09/13	12:00:00	1800
GLT	2012/09/13	12:00:00	0
GMX	2012/09/13	12:00:00	0
HAD	2012/09/13	12:00:00	0
HAT	2012/09/13	12:00:00	0
HBD	2012/09/13	12:00:00	11000
HBE	2012/09/13	12:00:00	0
HBS	2012/09/13	12:00:00	7200
HCC	2012/09/13	12:00:00	9500
HCT	2012/09/13	12:00:00	5700
HDA	2012/09/13	12:00:00	0
HDO	2012/09/13	12:00:00	7700
HEV	2012/09/13	12:00:00	0
HGM	2012/09/13	12:00:00	0
HHC	2012/09/13	12:00:00	0
HHG	2012/09/13	12:00:00	2500
HHL	2012/09/13	12:00:00	2200
HJS	2012/09/13	12:00:00	7100
HLC	2012/09/13	12:00:00	0
HLY	2012/09/13	12:00:00	0
HMH	2012/09/13	12:00:00	13600
HNM	2012/09/13	12:00:00	4400
HOM	2012/09/13	12:00:00	6700
HPB	2012/09/13	12:00:00	0
HPC	2012/09/13	12:00:00	3400
HPR	2012/09/13	12:00:00	10600
HPS	2012/09/13	12:00:00	0
HST	2012/09/13	12:00:00	0
HTB	2012/09/13	12:00:00	0
HTC	2012/09/13	12:00:00	15400
HTP	2012/09/13	12:00:00	5000
HUT	2012/09/13	12:00:00	8100
HVT	2012/09/13	12:00:00	8400
ICG	2012/09/13	12:00:00	6100
