CODE	NAME	PROVIDER	PLACE	TYPE	SUB_TYPE
VNXASCSEPRUSD	IFRC VNX ALL-SHARE CONSUMER SERVICES EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSETREUR	IFRC VNX ALL-SHARE CONSUMER SERVICES EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSETRJPY	IFRC VNX ALL-SHARE CONSUMER SERVICES EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSETRUSD	IFRC VNX ALL-SHARE CONSUMER SERVICES EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSTREUR	IFRC VNX ALL-SHARE CONSUMER SERVICES TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSTRJPY	IFRC VNX ALL-SHARE CONSUMER SERVICES TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSTRUSD	IFRC VNX ALL-SHARE CONSUMER SERVICES TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASEPREUR	IFRC VNX ALL-SHARE EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASEPRJPY	IFRC VNX ALL-SHARE EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASEPRUSD	IFRC VNX ALL-SHARE EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASETREUR	IFRC VNX ALL-SHARE EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASETRJPY	IFRC VNX ALL-SHARE EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASETRUSD	IFRC VNX ALL-SHARE EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASFIPREUR	IFRC VNX ALL-SHARE FINANCE (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIPRJPY	IFRC VNX ALL-SHARE FINANCE (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIPRUSD	IFRC VNX ALL-SHARE FINANCE (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIEPREUR	IFRC VNX ALL-SHARE FINANCE EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIEPRJPY	IFRC VNX ALL-SHARE FINANCE EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIEPRUSD	IFRC VNX ALL-SHARE FINANCE EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIETREUR	IFRC VNX ALL-SHARE FINANCE EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIETRJPY	IFRC VNX ALL-SHARE FINANCE EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIETRUSD	IFRC VNX ALL-SHARE FINANCE EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFITREUR	IFRC VNX ALL-SHARE FINANCE TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
