name	code_ctr	indcode	year	value	last_upd
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2008	80.66397732924	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2009	84.2934092158666	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2010	81.936261496396	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2002	244.203585688764	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2003	284.439100941311	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2004	283.784296116289	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2005	245.505131952833	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2006	253.498320757214	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2007	289.67979430806	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2008	256.196984864915	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2009	206.460978913839	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (all income levels)	LCN	AG.CON.FERT.PT.ZS	2010	265.402393099545	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2002	259.042333364958	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2003	300.304464906841	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2004	295.999569607013	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2005	259.888662065923	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2006	266.649684128168	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2007	304.754055131702	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2008	267.914308510912	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2009	216.988356198235	2013/06/24
Fertilizer consumption (% of fertilizer production) - Latin America & Caribbean (developing only)	LAC	AG.CON.FERT.PT.ZS	2010	278.021856329563	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2002	164.394783463708	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2003	171.088007521068	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2004	211.4466432034	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2005	221.097982175004	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2006	244.332127413731	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2007	225.348288260394	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2008	320.575166489775	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2009	501.097027209019	2013/06/24
Fertilizer consumption (% of fertilizer production) - Least developed countries: UN classification	LDC	AG.CON.FERT.PT.ZS	2010	356.44112244083	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2002	103.808602410976	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2003	103.384684286153	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2004	98.9279750864105	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2005	102.578023663957	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2006	105.818761917002	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2007	105.387167695057	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2008	103.997708985215	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2009	106.004566842634	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low & middle income	LMY	AG.CON.FERT.PT.ZS	2010	147.051159046857	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2002	165.372572259559	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2003	186.093063860216	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2004	214.463010475122	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2005	231.464410798582	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2006	250.797760096983	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2007	231.126567162182	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2008	323.147684754892	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2009	469.255055004262	2013/06/24
Fertilizer consumption (% of fertilizer production) - Low income	LIC	AG.CON.FERT.PT.ZS	2010	356.802027326987	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2002	112.639984413727	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2003	119.814258932834	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2004	120.548977058801	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2005	123.042210317049	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2006	127.416619048464	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2007	136.57498789548	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2008	143.723074893369	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2009	145.575698027806	2013/06/24
Fertilizer consumption (% of fertilizer production) - Lower middle income	LMC	AG.CON.FERT.PT.ZS	2010	140.333690034601	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2002	33.8489881687406	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2003	37.3212293263614	2013/06/24
