STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400.000	VND	1	1.00	9400.000	352669209400.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.89%						0
PXI	Petroleum Industrial and Civil Construction	20000000	100	100	4000.000	VND	1	1.00	4000.000	80000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.20%						0
PXT	Petroleum Pipeline and Tank Construction	42900000	100	100	4200.000	VND	1	1.00	4200.000	180180000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.46%						0
PXM	Mientrung Petroleum Construction	209740215	100	100	3200.000	VND	1	1.00	3200.000	671168688000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	1.70%						0
PVS	PVN Technical Services	50000000	100	100	15200.000	VND	1	1.00	15200.000	760000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	1.92%						0
PVX	PVN Construction	35000000	100	100	5200.000	VND	1	1.00	5200.000	182000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.46%						0
PVI	PVN Insurance	2000000	100	100	15900.000	VND	1	1.00	15900.000	31800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.08%						0
PGS	PVN Southern Gas	59841300	100	100	17100.000	VND	1	1.00	17100.000	1023286230000.00 	2012/09/13	0:00:00	71809560000.00	 1,200.00 	 1,200.00 	VND	PVNHNXPRVND	2.59%						0
PVC	Drilling Mud Corp	157531264	100	100	12700.000	VND	1	1.00	12700.000	2000647052800.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	5.07%						0
PVR	PVN Premier Recreation	52356713	100	100	3600.000	VND	1	1.00	3600.000	188484166800.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.48%						0
PVG	PVN Northern Gas	23000000	100	100	9300.000	VND	1	1.00	9300.000	213900000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.54%						0
PSI	PVN Securities Incorporated	15000000	100	100	3600.000	VND	1	1.00	3600.000	54000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.14%						0
PFL	Petro Dong Do Joint Stock Company	18000000	100	100	2700.000	VND	1	1.00	2700.000	48600000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.12%						0
PSG	Saigon Petroleum Constrution And Investment JSC	250000000	100	100	1300.000	VND	1	1.00	1300.000	325000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.82%						0
PVE	PVN Investment Consultancy and Engineering	18870000	100	100	9600.000	VND	1	1.00	9600.000	181152000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.46%						0
PPS	Petro Vietnam Power Services Joint Stock Company	35000000	100	100	7200.000	VND	1	1.00	7200.000	252000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.64%						0
PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100.000	VND	1	1.00	6100.000	1816592773400.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	4.60%						0
PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900.000	VND	1	1.00	2900.000	110200000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.28%						0
PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400.000	VND	1	1.00	35400.000	981282690000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	2.48%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200.000	VND	1	1.00	39200.000	14803791408000.00 	2012/09/13	0:00:00	528706836000.00	 1,400.00 	 1,400.00 	VND	PVNBMPRVND	37.49%						0
PET	PVN General Services	70371300	100	100	11200.000	VND	1	1.00	11200.000	788158560000.00 	2012/09/13	0:00:00	105556950000.00	 1,500.00 	 1,500.00 	VND	PVNCSPRVND	2.00%						0
PVF	PVN Finance	100000000	100	100	8300.000	VND	1	1.00	8300.000	830000000000.00 	2012/09/13	0:00:00	50000000000.00	 500.00 	 500.00 	VND	PVNFIPRVND	2.10%						0
PVI	PVN Insurance	600000000	100	100	15900.000	VND	1	1.00	15900.000	9540000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	24.16%						0
