tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
idx_ref	IDX_REF	idx_start_date	IDX_START_DATE	START DATE	80	L	C	0	44	text		8		sysformat
idx_ref	IDX_REF	idx_end_date	IDX_END_DATE	END DATE	80	L	C	0	45	text		8		sysformat
idx_specs	IDX_SPECS	id	ID	ID	50	R	N	0	0	text		10	19990	sysformat
idx_specs	IDX_SPECS	records	RECORDS	RECORD	50	R	N	0	0	text		10	10	sysformat
idx_specs	IDX_SPECS	nxt_date	NXT_DATE	NEXT DATE	50	L	C	0	0	text		8	NULL	sysformat
idx_specs	IDX_SPECS	dates	DATES	DATE	60	C	C	0	1	text		8	12-Sep	sysformat
idx_specs	IDX_SPECS	idx_code	IDX_CODE	CODE	80	L	C	0	2	text		255	PVN10PRVND	sysformat
idx_specs	IDX_SPECS	idx_name	IDX_NAME	NAME	150	LB	C	0	3	text		255	PVN 10	sysformat
idx_specs	IDX_SPECS	idx_curr	IDX_CURR	CURR	50	C	C	0	4	text		255	VND	sysformat
idx_specs	IDX_SPECS	idx_base	IDX_BASE	BASE	50	R	N	0	10	text		NULL	1000	sysformat
idx_specs	IDX_SPECS	idx_type	IDX_TYPE	P/R	30	C	C	0	11	text		255	P	sysformat
idx_specs	IDX_SPECS	idx_mother	IDX_MOTHER	MOTHER	80	L	C	0	12	text		255	PVN10PRVND	sysformat
idx_specs	IDX_SPECS	idx_bbs	IDX_BBS	BBS	50	C	C	0	33	text		255	Blue Chips	sysformat
idx_specs	IDX_SPECS	idx_divisor	IDX_DIVISOR	DIVISOR	150	R	N	2	13	text			3.00E+13	sysformat
idx_specs	IDX_SPECS	idx_dcap	IDX_DCAP	DIVIDEND	100	R	N	0	13	text		0	0	sysformat
idx_specs	IDX_SPECS	idx_mcap	IDX_MCAP	MARKET CAP	150	R	N	2	14	text			3.23E+13	sysformat
idx_specs	IDX_SPECS	idx_last	IDX_LAST	LAST	70	R	N	2	15	text		0	1076.66	sysformat
idx_specs	IDX_SPECS	idx_var	IDX_VAR	%VAR	50	R	N	2	16	text		255	NULL	sysformat
idx_specs	IDX_SPECS	idx_dvar	IDX_DVAR	% DVAR	50	R	N	2	17	text		255	NULL	sysformat
idx_specs	IDX_SPECS	idx_plast	IDX_PLAST	PLAST	70	R	N	2	19	text		NULL	970.28	sysformat
idx_specs	IDX_SPECS	idx_pclose	IDX_PCLOSE	PCLOSE	70	R	N	2	20	text			NULL	sysformat
idx_specs	IDX_SPECS	idx_divisor_nxt	IDX_DIVISOR_NXT	DIVISOR NEXT	70	R	N	0	20	text		0	0	sysformat
idx_specs	IDX_SPECS	idx_conv	IDX_CONV	CONV	50	R	N	0	22	text		255	21890	sysformat
idx_specs	IDX_SPECS	idx_mcap_nxt	IDX_MCAP_NXT	MCAP NEXT	60	R	N	0	25	text		0	0	sysformat
idx_specs	IDX_SPECS	publications	PUBLICATIONS	PUBLICATIONS	80	R	N	0	27	text		6	0	sysformat
idx_specs	IDX_SPECS	to_adjust	TO_ADJUST	TOADJUST	70	R	N	0	28	text		6	0	sysformat
idx_specs	IDX_SPECS	calculs	CALCULS	CALCULS	60	R	N	0	28	text		6	1	sysformat
idx_specs	IDX_SPECS	times	TIMES	TIME	50	C	C	0	29	text		8	0	sysformat
